kri_id,risk_type,kri_name,unit,direction,c1,c2,c3,c4,kri_weight,frequency,measurement_type,value_start_2025_10,value_target_2026_09,target_score,stress_sensitive,kri_owner
ST04,Strategic,Inisiatif strategis terlambat,% inisiatif,lower,10,20,30,40,0.15,quarterly,semi-quantitative,10,25,3,N,Corporate Planning
CP01,Compliance,Pelanggaran regulasi (rolling 3 bulan),count,lower,1,3,5,7,0.20,monthly,KRI-based,2,4,3,N,Compliance
CP02,Compliance,Pelanggaran high-severity melewati target remediasi,count,lower,0,1,2,3,0.30,monthly,KRI-based,1,3,4,N,Compliance
CP03,Compliance,Repeat breach rate,%,lower,5,10,15,20,0.20,monthly,KRI-based,8,12,3,N,Compliance
CP04,Compliance,Temuan DPS (kepatuhan syariah) terbuka >90 hari,count,lower,0,1,2,4,0.30,monthly,KRI-based,1,2,3,N,Compliance / DPS Secretariat
LG01,Legal,Kasus hukum terbuka,count,lower,5,10,15,20,0.30,monthly,KRI-based,7,8,2,N,Legal
LG02,Legal,Kasus high-risk terbuka,count,lower,0,1,2,3,0.30,monthly,KRI-based,1,1,2,N,Legal
LG03,Legal,Potensi eksposur kerugian hukum,% modal,lower,0.5,1.0,2.0,3.0,0.20,monthly,KRI-based,0.7,0.8,2,N,Legal
LG04,Legal,Kasus aging >365 hari,% kasus terbuka,lower,10,20,30,40,0.20,monthly,KRI-based,18,22,3,N,Legal
RP01,Reputation,Pertumbuhan volume komplain MoM,%,lower,5,10,20,30,0.20,monthly,KRI-based,5,25,4,Y,Customer Care / Corsec
RP02,Reputation,Rasio komplain severe,% total komplain,lower,2,4,6,8,0.35,monthly,KRI-based,3.2,3.5,2,N,Customer Care / Corsec
RP03,Reputation,Komplain selesai melewati SLA,%,lower,5,10,15,20,0.25,monthly,KRI-based,8,9,2,N,Customer Care / Corsec
RP04,Reputation,Negative sentiment ratio,%,lower,10,20,30,40,0.20,monthly,KRI-based,15,22,3,N,Customer Care / Corsec
RR01,Rate of Return,Gap bagi hasil deposito vs benchmark pasar (benchmark - ASB),pp,lower,0,0.25,0.50,0.75,0.30,monthly,quantitative,0.20,0.45,3,Y,ALM
RR02,Rate of Return,Gap return ekspektasi vs realisasi deposan,pp,lower,0.2,0.4,0.6,0.8,0.30,monthly,quantitative,0.3,0.7,4,Y,ALM
RR03,Rate of Return,Net imbal hasil (NIM syariah),%,higher,5.0,4.5,4.0,3.5,0.20,monthly,quantitative,4.8,4.4,3,Y,ALM / Finance
RR04,Rate of Return,Porsi pembiayaan margin tetap tenor >3 thn,% pembiayaan,lower,30,40,50,60,0.20,monthly,quantitative,36,38,2,N,ALM
IV01,Investment,Konsentrasi penerbit non-sovereign terbesar,% portofolio,lower,5,10,15,20,0.25,monthly,quantitative,8,8,2,N,Treasury Investment
IV02,Investment,Eksposur rating di bawah idA,% portofolio,lower,2,5,8,12,0.30,monthly,quantitative,3,3,2,Y,Treasury Investment
IV03,Investment,Penurunan nilai pasar FVOCI 3 bulan,%,lower,1,2,3,5,0.25,monthly,quantitative,0.5,1.2,2,Y,Treasury Investment
IV04,Investment,Modified duration portofolio,tahun,lower,3,4,5,6,0.20,monthly,quantitative,4.0,4.3,3,N,Treasury Investment
CAP01,Capital Overlay,KPMM (CAR),%,higher,16,14,12,10.5,0,monthly,quantitative,18.2,17.5,1,Y,Finance / Risk
